short_name,lon,name,eightd_has_key_dispenser,capacity,station_type,lat,electric_bike_surcharge_waiver,has_kiosk,eightd_station_services,externalId,stationId,legacyId,region_code,rack_model,address,dockless_bikes_parking_zone_capacity,client_station_id







KA1503000018,-87.5764501141,Jeffery Blvd & 71st St,false,11,classic,41.76663823695,false,true,[],a3a3983e-a135-11e9-9cda-0a87ae2ba916,11,11,undefined,undefined,undefined,undefined,undefined






























TA1305000001,-87.626488,Wabash Ave & Cermak Rd,false,11,classic,41.852619,false,true,[],a3a43a25-a135-11e9-9cda-0a87ae2ba916,42,42,undefined,undefined,undefined,undefined,undefined












































KA1503000021,-87.586647,Stony Island Ave & 64th St,false,11,classic,41.778881,false,true,[],a3a528d0-a135-11e9-9cda-0a87ae2ba916,95,95,undefined,undefined,undefined,undefined,undefined






KA1503000023,-87.5853397391,Stony Island Ave & 67th St,false,11,classic,41.77345849948,false,true,[],a3a54cdb-a135-11e9-9cda-0a87ae2ba916,102,102,undefined,undefined,undefined,undefined,undefined






























13162,-87.6466029882431,Halsted St & 21st St,false,11,classic,41.85377981072743,false,true,[],a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,135,135,undefined,undefined,undefined,undefined,undefined












13217,-87.61793,Calumet Ave & 33rd St,false,11,classic,41.8349,false,true,[],a3a639f5-a135-11e9-9cda-0a87ae2ba916,149,149,undefined,undefined,undefined,undefined,undefined







13245,-87.685854,Claremont Ave & Hirsch St,false,11,classic,41.907781,false,true,[],a3a6de38-a135-11e9-9cda-0a87ae2ba916,159,159,undefined,undefined,undefined,undefined,undefined







TA1307000066,-87.67564,Damen Ave & Coulter St,false,7,classic,41.8492,false,true,[],a3a706c0-a135-11e9-9cda-0a87ae2ba916,167,167,undefined,undefined,undefined,undefined,undefined



13331,-87.654127,May St & Cullerton St,false,11,classic,41.855136,false,true,[],a3a71b0a-a135-11e9-9cda-0a87ae2ba916,171,171,undefined,undefined,undefined,undefined,undefined
KA1504000133,-87.627690528,Rush St & Cedar St,false,11,classic,41.90230870122,false,true,[],a3a72012-a135-11e9-9cda-0a87ae2ba916,172,172,undefined,undefined,undefined,undefined,undefined












13266,-87.691392,Stave St & Armitage Ave,false,11,classic,41.917741,false,true,[],a3a762a1-a135-11e9-9cda-0a87ae2ba916,185,185,undefined,undefined,undefined,undefined,undefined





13213,-87.626938,State St & 29th St,false,11,classic,41.841707,false,true,[],a3a781a6-a135-11e9-9cda-0a87ae2ba916,193,193,undefined,undefined,undefined,undefined,undefined






TA1308000007,-87.616279,MLK Jr Dr & 47th St,false,11,classic,41.809851,false,true,[],a3a7a4fc-a135-11e9-9cda-0a87ae2ba916,200,200,undefined,undefined,undefined,undefined,undefined
